t,p,q,in equilibrium,p_e,q_e
343,49.9999658,53.0000342,False,49.9999657,53.0000343
344,49.9999657,54.0000343,False,49.9999656,54.0000344
345,49.9999656,50.0000344,False,49.9999655,50.0000345
346,49.9999655,51.0000345,False,49.9999654,51.0000346
347,49.9999654,52.0000346,False,49.9999653,52.0000347
348,49.9999653,53.0000347,False,49.9999652,53.0000348
349,49.9999652,54.0000348,False,49.9999651,54.0000349
350,49.9999651,50.0000349,False,49.999965,50.000035
351,49.999965,51.000035,False,49.9999649,51.0000351
352,49.9999649,52.0000351,False,49.9999648,52.0000352
353,49.9999648,53.0000352,False,49.9999647,53.0000353
354,49.9999647,54.0000353,False,49.9999646,54.0000354
355,49.9999646,50.0000354,False,49.9999645,50.0000355
356,49.9999645,51.0000355,False,49.9999644,51.0000356
357,49.9999644,52.0000356,False,49.9999643,52.0000357
358,49.9999643,53.0000357,False,49.9999642,53.0000358
359,49.9999642,54.0000358,False,49.9999641,54.0000359
360,49.9999641,50.0000359,False,49.999964,50.000036
361,49.999964,51.000036,False,49.9999639,51.0000361
362,49.9999639,52.0000361,False,49.9999638,52.0000362
363,49.9999638,53.0000362,False,49.9999637,53.0000363
364,49.9999637,54.0000363,False,49.9999636,54.0000364
365,49.9999636,50.0000364,False,49.9999635,50.0000365
366,49.9999635,51.0000365,False,49.9999634,51.0000366
367,49.9999634,52.0000366,False,49.9999633,52.0000367
368,49.9999633,53.0000367,False,49.9999632,53.0000368
369,49.9999632,54.0000368,False,49.9999631,54.0000369
370,49.9999631,50.0000369,False,49.999963,50.000037
371,49.999963,51.000037,False,49.9999629,51.0000371
372,49.9999629,52.0000371,False,49.9999628,52.0000372
373,49.9999628,53.0000372,False,49.9999627,53.0000373
374,49.9999627,54.0000373,False,49.9999626,54.0000374
375,49.9999626,50.0000374,False,49.9999625,50.0000375
376,49.9999625,51.0000375,False,49.9999624,51.0000376
377,49.9999624,52.0000376,False,49.9999623,52.0000377
378,49.9999623,53.0000377,False,49.9999622,53.0000378
379,49.9999622,54.0000378,False,49.9999621,54.0000379
380,49.9999621,50.0000379,False,49.999962,50.000038
381,49.999962,51.000038,False,49.9999619,51.0000381
382,49.9999619,52.0000381,False,49.9999618,52.0000382
383,49.9999618,53.0000382,False,49.9999617,53.0000383
384,49.9999617,54.0000383,False,49.9999616,54.0000384
385,49.9999616,50.0000384,False,49.9999615,50.0000385
386,49.9999615,51.0000385,False,49.9999614,51.0000386
387,49.9999614,52.0000386,False,49.9999613,52.0000387
388,49.9999613,53.0000387,False,49.9999612,53.0000388
389,49.9999612,54.0000388,False,49.9999611,54.0000389
390,49.9999611,50.0000389,False,49.999961,50.000039
391,49.999961,51.000039,False,49.9999609,51.0000391
392,49.9999609,52.0000391,False,49.9999608,52.0000392
393,49.9999608,53.0000392,False,49.9999607,53.0000393
394,49.9999607,54.0000393,False,49.9999606,54.0000394
395,49.9999606,50.0000394,False,49.9999605,50.0000395
396,49.9999605,51.0000395,False,49.9999604,51.0000396
397,49.9999604,52.0000396,False,49.9999603,52.0000397
398,49.9999603,53.0000397,False,49.9999602,53.0000398
399,49.9999602,54.0000398,False,49.9999601,54.0000399
400,49.9999601,50.0000399,False,49.99996,50.00004
401,49.99996,51.00004,False,49.9999599,51.0000401
402,49.9999599,52.0000401,False,49.9999598,52.0000402
403,49.9999598,53.0000402,False,49.9999597,53.0000403
404,49.9999597,54.0000403,False,49.9999596,54.0000404
405,49.9999596,50.0000404,False,49.9999595,50.0000405
406,49.9999595,51.0000405,False,49.9999594,51.0000406
407,49.9999594,52.0000406,False,49.9999593,52.0000407
408,49.9999593,53.0000407,False,49.9999592,53.0000408
409,49.9999592,54.0000408,False,49.9999591,54.0000409
410,49.9999591,50.0000409,False,49.999959,50.000041
411,49.999959,51.000041,False,49.9999589,51.0000411
412,49.9999589,52.0000411,False,49.9999588,52.0000412
413,49.9999588,53.0000412,False,49.9999587,53.0000413
414,49.9999587,54.0000413,False,49.9999586,54.0000414
415,49.9999586,50.0000414,False,49.9999585,50.0000415
416,49.9999585,51.0000415,False,49.9999584,51.0000416
417,49.9999584,52.0000416,False,49.9999583,52.0000417
418,49.9999583,53.0000417,False,49.9999582,53.0000418
419,49.9999582,54.0000418,False,49.9999581,54.0000419
420,49.9999581,50.0000419,False,49.999958,50.000042
421,49.999958,51.000042,False,49.9999579,51.0000421
422,49.9999579,52.0000421,False,49.9999578,52.0000422
423,49.9999578,53.0000422,False,49.9999577,53.0000423
424,49.9999577,54.0000423,False,49.9999576,54.0000424
425,49.9999576,50.0000424,False,49.9999575,50.0000425
426,49.9999575,51.0000425,False,49.9999574,51.0000426
427,49.9999574,52.0000426,False,49.9999573,52.0000427
428,49.9999573,53.0000427,False,49.9999572,53.0000428
429,49.9999572,54.0000428,False,49.9999571,54.0000429
430,49.9999571,50.0000429,False,49.999957,50.000043
431,49.999957,51.000043,False,49.9999569,51.0000431
432,49.9999569,52.0000431,False,49.9999568,52.0000432
433,49.9999568,53.0000432,False,49.9999567,53.0000433
434,49.9999567,54.0000433,False,49.9999566,54.0000434
435,49.9999566,50.0000434,False,49.9999565,50.0000435
436,49.9999565,51.0000435,False,49.9999564,51.0000436
437,49.9999564,52.0000436,False,49.9999563,52.0000437
438,49.9999563,53.0000437,False,49.9999562,53.0000438
439,49.9999562,54.0000438,False,49.9999561,54.0000439
440,49.9999561,50.0000439,False,49.999956,50.000044
441,49.999956,51.000044,False,49.9999559,51.0000441
442,49.9999559,52.0000441,False,49.9999558,52.0000442
443,49.9999558,53.0000442,False,49.9999557,53.0000443
444,49.9999557,54.0000443,False,49.9999556,54.0000444
445,49.9999556,50.0000444,False,49.9999555,50.0000445
446,49.9999555,51.0000445,False,49.9999554,51.0000446
447,49.9999554,52.0000446,False,49.9999553,52.0000447
448,49.9999553,53.0000447,False,49.9999552,53.0000448
449,49.9999552,54.0000448,False,49.9999551,54.0000449
450,49.9999551,50.0000449,False,49.999955,50.000045
451,49.999955,51.000045,False,49.9999549,51.0000451
452,49.9999549,52.0000451,False,49.9999548,52.0000452
453,49.9999548,53.0000452,False,49.9999547,53.0000453
454,49.9999547,54.0000453,False,49.9999546,54.0000454
455,49.9999546,50.0000454,False,49.9999545,50.0000455
456,49.9999545,51.0000455,False,49.9999544,51.0000456
457,49.9999544,52.0000456,False,49.9999543,52.0000457
458,49.9999543,53.0000457,False,49.9999542,53.0000458
459,49.9999542,54.0000458,False,49.9999541,54.0000459
460,49.9999541,50.0000459,False,49.999954,50.000046
461,49.999954,51.000046,False,49.9999539,51.0000461
462,49.9999539,52.0000461,False,49.9999538,52.0000462
463,49.9999538,53.0000462,False,49.9999537,53.0000463
464,49.9999537,54.0000463,False,49.9999536,54.0000464
465,49.9999536,50.0000464,False,49.9999535,50.0000465
466,49.9999535,51.0000465,False,49.9999534,51.0000466
467,49.9999534,52.0000466,False,49.9999533,52.0000467
468,49.9999533,53.0000467,False,49.9999532,53.0000468
469,49.9999532,54.0000468,False,49.9999531,54.0000469
470,49.9999531,50.0000469,False,49.999953,50.000047
471,49.999953,51.000047,False,49.9999529,51.0000471
472,49.9999529,52.0000471,False,49.9999528,52.0000472
473,49.9999528,53.0000472,False,49.9999527,53.0000473
474,49.9999527,54.0000473,False,49.9999526,54.0000474
475,49.9999526,50.0000474,False,49.9999525,50.0000475
476,49.9999525,51.0000475,False,49.9999524,51.0000476
477,49.9999524,52.0000476,False,49.9999523,52.0000477
478,49.9999523,53.0000477,False,49.9999522,53.0000478
479,49.9999522,54.0000478,False,49.9999521,54.0000479
480,49.9999521,50.0000479,False,49.999952,50.000048
481,49.999952,51.000048,False,49.9999519,51.0000481
482,49.9999519,52.0000481,False,49.9999518,52.0000482
483,49.9999518,53.0000482,False,49.9999517,53.0000483
484,49.9999517,54.0000483,False,49.9999516,54.0000484
485,49.9999516,50.0000484,False,49.9999515,50.0000485
486,49.9999515,51.0000485,False,49.9999514,51.0000486
487,49.9999514,52.0000486,False,49.9999513,52.0000487
488,49.9999513,53.0000487,False,49.9999512,53.0000488
489,49.9999512,54.0000488,False,49.9999511,54.0000489
490,49.9999511,50.0000489,False,49.999951,50.000049
491,49.999951,51.000049,False,49.9999509,51.0000491
492,49.9999509,52.0000491,False,49.9999508,52.0000492
493,49.9999508,53.0000492,False,49.9999507,53.0000493
494,49.9999507,54.0000493,False,49.9999506,54.0000494
495,49.9999506,50.0000494,False,49.9999505,50.0000495
496,49.9999505,51.0000495,False,49.9999504,51.0000496
497,49.9999504,52.0000496,False,49.9999503,52.0000497
498,49.9999503,53.0000497,False,49.9999502,53.0000498
499,49.9999502,54.0000498,False,49.9999501,54.0000499
500,49.9999501,50.0000499,False,49.99995,50.00005
501,49.99995,51.00005,False,49.9999499,51.0000501
502,49.9999499,52.0000501,False,49.9999498,52.0000502
